Ticker,Sector,Industry
CLM,Financial,Closed-End Fund - Equity
LCTX,Healthcare,Biotechnology
USAS,Basic Materials,Other Industrial Metals & Mining
SLI,Basic Materials,Other Industrial Metals & Mining
ITRG,Basic Materials,Other Precious Metals & Mining
GAU,Basic Materials,Gold
PHYS,Financial,Asset Management
LEU,Energy,Uranium
PMI,Healthcare,Medical Devices
GROY,Basic Materials,Gold
IE,Basic Materials,Copper
TGB,Basic Materials,Copper
NAK,Basic Materials,Other Industrial Metals & Mining
UMAC,Technology,Computer Hardware
VZLA,Basic Materials,Other Industrial Metals & Mining
SENS,Healthcare,Medical Devices
ARMN,Basic Materials,Gold
ASM,Basic Materials,Other Precious Metals & Mining
NG,Basic Materials,Gold
IAUX,Basic Materials,Gold
SVM,Basic Materials,Silver
UAMY,Basic Materials,Other Industrial Metals & Mining
UUUU,Energy,Uranium
ORLA,Basic Materials,Gold
URG,Energy,Uranium
UEC,Energy,Uranium
NGD,Basic Materials,Gold
PSLV,Financial,Asset Management
EQX,Basic Materials,Gold
BMNR,Financial,Capital Markets
BTG,Basic Materials,Gold
DNN,Energy,Uranium
