Ticker,Sector,Industry
MBVIU,Financial,Shell Companies
RGC,Healthcare,Drug Manufacturers - Specialty & Generic
CEPF,Financial,Shell Companies
QMMM,Communication Services,Advertising Agencies
BRCB,Consumer Defensive,Beverages - Non-Alcoholic
ABVX,Healthcare,Biotechnology
CHA,Consumer Cyclical,Restaurants
AIP,Technology,Semiconductors
CNTA,Healthcare,Biotechnology
KYIV,Communication Services,Telecom Services
SY,Healthcare,Health Information Services
RXST,Healthcare,Medical Devices
ETOR,Financial,Capital Markets
DGNX,Industrials,Consulting Services
PRTA,Healthcare,Biotechnology
OXLC,Financial,Closed-End Fund - Debt
PAGP,Energy,Oil & Gas Midstream
AXGN,Healthcare,Medical Devices
LGN,Industrials,Engineering & Construction
XENE,Healthcare,Biotechnology
TSEM,Technology,Semiconductors
ATAT,Consumer Cyclical,Lodging
TLS,Technology,Software - Infrastructure
LFMD,Healthcare,Health Information Services
QSG,Consumer Defensive,Education & Training Services
FROG,Technology,Software - Application
CYBR,Technology,Software - Infrastructure
URGN,Healthcare,Biotechnology
KC,Technology,Software - Application
MMYT,Consumer Cyclical,Travel Services
SEZL,Financial,Credit Services
LEGN,Healthcare,Biotechnology
SFD,Consumer Defensive,Packaged Foods
FDMT,Healthcare,Biotechnology
LNW,Consumer Cyclical,Gambling
SDGR,Healthcare,Health Information Services
RPAY,Technology,Software - Infrastructure
FTAI,Industrials,Rental & Leasing Services
PRCT,Healthcare,Medical Devices
AEHR,Technology,Semiconductor Equipment & Materials
GLUE,Healthcare,Biotechnology
SWBI,Industrials,Aerospace & Defense
COOP,Financial,Mortgage Finance
PWP,Financial,Capital Markets
PHAT,Healthcare,Biotechnology
PSNL,Healthcare,Diagnostics & Research
TLN,Utilities,Utilities - Independent Power Producers
GLBE,Consumer Cyclical,Internet Retail
NTRA,Healthcare,Diagnostics & Research
MXL,Technology,Semiconductors
OLLI,Consumer Defensive,Discount Stores
HLIT,Technology,Communication Equipment
DUOL,Technology,Software - Application
INTR,Financial,Banks - Regional
RYAAY,Industrials,Airlines
REYN,Consumer Cyclical,Packaging & Containers
CMPS,Healthcare,Medical Care Facilities
INMD,Healthcare,Medical Devices
AVDX,Technology,Software - Infrastructure
CLBT,Technology,Software - Infrastructure
SBLK,Industrials,Marine Shipping
CELC,Healthcare,Biotechnology
HQY,Healthcare,Health Information Services
HTHT,Consumer Cyclical,Lodging
GLNG,Energy,Oil & Gas Midstream
OTEX,Technology,Software - Application
IMAB,Healthcare,Biotechnology
PTC,Technology,Software - Application
GBDC,Financial,Asset Management
NAGE,Healthcare,Biotechnology
QDEL,Healthcare,Medical Devices
POET,Technology,Semiconductors
ALNY,Healthcare,Biotechnology
LBRDK,Communication Services,Telecom Services
CLMT,Basic Materials,Specialty Chemicals
KALV,Healthcare,Biotechnology
ACMR,Technology,Semiconductor Equipment & Materials
TERN,Healthcare,Biotechnology
ICLR,Healthcare,Diagnostics & Research
SGRY,Healthcare,Medical Care Facilities
GSM,Basic Materials,Other Industrial Metals & Mining
SRTA,Industrials,Airports & Air Services
REAX,Real Estate,Real Estate Services
PTCT,Healthcare,Biotechnology
TBLA,Communication Services,Internet Content & Information
NKTR,Healthcare,Biotechnology
IART,Healthcare,Medical Devices
HIMX,Technology,Semiconductors
VRNA,Healthcare,Biotechnology
CAPR,Healthcare,Biotechnology
SCPH,Healthcare,Biotechnology
GMAB,Healthcare,Biotechnology
FWRG,Consumer Cyclical,Restaurants
GRPN,Communication Services,Internet Content & Information
ASTL,Basic Materials,Steel
DAWN,Healthcare,Biotechnology
AIRO,Industrials,Aerospace & Defense
WIX,Technology,Software - Infrastructure
AVXL,Healthcare,Biotechnology
LBTYA,Communication Services,Telecom Services
VRNT,Technology,Software - Infrastructure
HLMN,Industrials,Tools & Accessories
