Ticker,Sector,Industry
FL,Consumer Cyclical,Apparel Retail
GMS,Industrials,Building Products & Equipment
OLO,Technology,Software - Application
SKX,Consumer Cyclical,Footwear & Accessories
LTM,Industrials,Airlines
TIXT,Technology,Software - Infrastructure
VIA,Technology,Software - Application
ARX,Financial,Insurance Brokers
GOOS,Consumer Cyclical,Apparel Manufacturing
SQM,Basic Materials,Specialty Chemicals
ZGN,Consumer Cyclical,Apparel Manufacturing
VIV,Communication Services,Telecom Services
RCI,Communication Services,Telecom Services
RDY,Healthcare,Drug Manufacturers - Specialty & Generic
RY,Financial,Banks - Diversified
HSBC,Financial,Banks - Diversified
XIFR,Utilities,Utilities - Renewable
PBA,Energy,Oil & Gas Midstream
MT,Basic Materials,Steel
ERJ,Industrials,Aerospace & Defense
DEO,Consumer Defensive,Beverages - Wineries & Distilleries
BBVA,Financial,Banks - Diversified
HAFN,Industrials,Marine Shipping
IMAX,Communication Services,Entertainment
CSAN,Energy,Oil & Gas Refining & Marketing
CM,Financial,Banks - Diversified
EDU,Consumer Defensive,Education & Training Services
UTZ,Consumer Defensive,Packaged Foods
RELX,Industrials,Specialty Business Services
TV,Communication Services,Telecom Services
XPO,Industrials,Trucking
UGP,Energy,Oil & Gas Refining & Marketing
ECC,Financial,Closed-End Fund - Debt
RH,Consumer Cyclical,Specialty Retail
RVLV,Consumer Cyclical,Internet Retail
WOW,Communication Services,Telecom Services
ALC,Healthcare,Medical Instruments & Supplies
RERE,Consumer Cyclical,Internet Retail
TRP,Energy,Oil & Gas Midstream
ADC,Real Estate,REIT - Retail
TTE,Energy,Oil & Gas Integrated
YUMC,Consumer Cyclical,Restaurants
STNG,Energy,Oil & Gas Midstream
FR,Real Estate,REIT - Industrial
WAB,Industrials,Railroads
NVS,Healthcare,Drug Manufacturers - General
AER,Industrials,Rental & Leasing Services
KT,Communication Services,Telecom Services
MOD,Consumer Cyclical,Auto Parts
OPFI,Financial,Credit Services
LHX,Industrials,Aerospace & Defense
WNS,Technology,Information Technology Services
BYD,Consumer Cyclical,Resorts & Casinos
ENOV,Healthcare,Medical Devices
WLK,Basic Materials,Specialty Chemicals
PLNT,Consumer Cyclical,Leisure
DQ,Technology,Solar
MIAX,Financial,Capital Markets
NOMD,Consumer Defensive,Packaged Foods
GTLS,Industrials,Specialty Industrial Machinery
