Ticker,Sector,Industry
WBD,Communication Services,Entertainment
INTC,Technology,Semiconductors
KHC,Consumer Defensive,Packaged Foods
KDP,Consumer Defensive,Beverages - Non-Alcoholic
CMCSA,Communication Services,Telecom Services
CSX,Industrials,Railroads
GFS,Technology,Semiconductors
EXC,Utilities,Utilities - Regulated Electric
BKR,Energy,Oil & Gas Equipment & Services
CPRT,Industrials,Specialty Business Services
FAST,Industrials,Industrial Distribution
ON,Technology,Semiconductors
MNST,Consumer Defensive,Beverages - Non-Alcoholic
CSCO,Technology,Communication Equipment
MCHP,Technology,Semiconductors
MDLZ,Consumer Defensive,Confectioners
AZN,Healthcare,Drug Manufacturers - General
XEL,Utilities,Utilities - Regulated Electric
MRVL,Technology,Semiconductors
CTSH,Technology,Information Technology Services
GEHC,Healthcare,Medical Devices
PYPL,Financial,Credit Services
TTD,Communication Services,Advertising Agencies
DXCM,Healthcare,Medical Devices
CSGP,Real Estate,Real Estate Services
SBUX,Consumer Cyclical,Restaurants
LRCX,Technology,Semiconductor Equipment & Materials
ORLY,Consumer Cyclical,Auto Parts
CCEP,Consumer Defensive,Beverages - Non-Alcoholic
PCAR,Industrials,Farm & Heavy Construction Machinery
FTNT,Technology,Software - Infrastructure
AEP,Utilities,Utilities - Regulated Electric
MU,Technology,Semiconductors
GILD,Healthcare,Drug Manufacturers - General
PDD,Consumer Cyclical,Internet Retail
SHOP,Technology,Software - Application
BIIB,Healthcare,Drug Manufacturers - General
ROST,Consumer Cyclical,Apparel Retail
ABNB,Consumer Cyclical,Travel Services
PEP,Consumer Defensive,Beverages - Non-Alcoholic
FANG,Energy,Oil & Gas E&P
PAYX,Technology,Software - Application
DDOG,Technology,Software - Application
EA,Communication Services,Electronic Gaming & Multimedia
QCOM,Technology,Semiconductors
PLTR,Technology,Software - Infrastructure
ARM,Technology,Semiconductors
AMD,Technology,Semiconductors
ODFL,Industrials,Trucking
NVDA,Technology,Semiconductors
CDW,Technology,Information Technology Services
TXN,Technology,Semiconductors
AMAT,Technology,Semiconductor Equipment & Materials
GOOGL,Communication Services,Internet Content & Information
GOOG,Communication Services,Internet Content & Information
TEAM,Technology,Software - Application
PANW,Technology,Software - Infrastructure
AAPL,Technology,Consumer Electronics
LULU,Consumer Cyclical,Apparel Retail
NXPI,Technology,Semiconductors
CTAS,Industrials,Specialty Business Services
HON,Industrials,Conglomerates
TTWO,Communication Services,Electronic Gaming & Multimedia
ADI,Technology,Semiconductors
AMZN,Consumer Cyclical,Internet Retail
WDAY,Technology,Software - Application
TMUS,Communication Services,Telecom Services
DASH,Consumer Cyclical,Internet Retail
MAR,Consumer Cyclical,Lodging
ZS,Technology,Software - Infrastructure
AVGO,Technology,Semiconductors
VRSK,Industrials,Consulting Services
ADSK,Technology,Software - Application
AMGN,Healthcare,Drug Manufacturers - General
ADP,Technology,Software - Application
CHTR,Communication Services,Telecom Services
TSLA,Consumer Cyclical,Auto Manufacturers
CEG,Utilities,Utilities - Renewable
CDNS,Technology,Software - Application
APP,Communication Services,Advertising Agencies
ADBE,Technology,Software - Application
MSTR,Technology,Software - Application
CRWD,Technology,Software - Infrastructure
VRTX,Healthcare,Biotechnology
LIN,Basic Materials,Specialty Chemicals
ISRG,Healthcare,Medical Instruments & Supplies
MSFT,Technology,Software - Infrastructure
ROP,Technology,Software - Application
REGN,Healthcare,Biotechnology
IDXX,Healthcare,Diagnostics & Research
SNPS,Technology,Software - Infrastructure
ASML,Technology,Semiconductor Equipment & Materials
META,Communication Services,Internet Content & Information
AXON,Industrials,Aerospace & Defense
INTU,Technology,Software - Application
KLAC,Technology,Semiconductor Equipment & Materials
COST,Consumer Defensive,Discount Stores
NFLX,Communication Services,Entertainment
MELI,Consumer Cyclical,Internet Retail
BKNG,Consumer Cyclical,Travel Services
