Ticker,Sector,Industry
AAP,Consumer Cyclical,Auto Parts
ABCB,Financial,Banks - Regional
ABG,Consumer Cyclical,Auto & Truck Dealerships
ABM,Industrials,Specialty Business Services
ABR,Real Estate,REIT - Mortgage
ACA,Industrials,Engineering & Construction
ACAD,Healthcare,Biotechnology
ACHR,Industrials,Aerospace & Defense
ACIW,Technology,Software - Infrastructure
ACLS,Technology,Semiconductor Equipment & Materials
ACLX,Healthcare,Biotechnology
ACT,Financial,Insurance - Specialty
ACVA,Consumer Cyclical,Auto & Truck Dealerships
ADMA,Healthcare,Biotechnology
ADUS,Healthcare,Medical Care Facilities
AEIS,Industrials,Electrical Equipment & Parts
AEO,Consumer Cyclical,Apparel Retail
AGIO,Healthcare,Biotechnology
AGX,Industrials,Engineering & Construction
AGYS,Technology,Software - Application
AHR,Real Estate,REIT - Healthcare Facilities
AI,Technology,Software - Infrastructure
AIN,Consumer Cyclical,Textile Manufacturing
AIR,Industrials,Aerospace & Defense
AKR,Real Estate,REIT - Retail
AKRO,Healthcare,Biotechnology
ALE,Utilities,Utilities - Diversified
ALG,Industrials,Farm & Heavy Construction Machinery
ALHC,Healthcare,Healthcare Plans
ALIT,Technology,Software - Application
ALKS,Healthcare,Drug Manufacturers - Specialty & Generic
ALKT,Technology,Software - Application
ALRM,Technology,Software - Application
AMBA,Technology,Semiconductor Equipment & Materials
AMBP,Consumer Cyclical,Packaging & Containers
AMRX,Healthcare,Drug Manufacturers - Specialty & Generic
ANF,Consumer Cyclical,Apparel Retail
APAM,Financial,Asset Management
APGE,Healthcare,Biotechnology
APLD,Technology,Information Technology Services
APLE,Real Estate,REIT - Hotel & Motel
APPN,Technology,Software - Infrastructure
AROC,Energy,Oil & Gas Equipment & Services
ARWR,Healthcare,Biotechnology
ASAN,Technology,Software - Application
ASB,Financial,Banks - Regional
ASGN,Technology,Information Technology Services
ASO,Consumer Cyclical,Specialty Retail
ATGE,Consumer Defensive,Education & Training Services
ATKR,Industrials,Electrical Equipment & Parts
ATMU,Consumer Cyclical,Auto Parts
AUB,Financial,Banks - Regional
AVA,Utilities,Utilities - Diversified
AVAV,Industrials,Aerospace & Defense
AVDX,Technology,Software - Infrastructure
AVNT,Basic Materials,Specialty Chemicals
AVPT,Technology,Software - Infrastructure
AWR,Utilities,Utilities - Regulated Water
AX,Financial,Banks - Regional
AXSM,Healthcare,Biotechnology
AZZ,Industrials,Specialty Business Services
BANC,Financial,Banks - Regional
BANF,Financial,Banks - Regional
BANR,Financial,Banks - Regional
BATRA,Communication Services,Entertainment
BATRK,Communication Services,Entertainment
BBAI,Technology,Information Technology Services
BBIO,Healthcare,Biotechnology
BBUC,Financial,Asset Management
BCC,Basic Materials,Lumber & Wood Production
BCO,Industrials,Security & Protection Services
BCPC,Basic Materials,Specialty Chemicals
BDC,Technology,Communication Equipment
BE,Industrials,Electrical Equipment & Parts
BEAM,Healthcare,Biotechnology
BFH,Financial,Credit Services
BGC,Financial,Capital Markets
BIPC,Utilities,Utilities - Regulated Gas
BKE,Consumer Cyclical,Apparel Retail
BKH,Utilities,Utilities - Regulated Gas
BKU,Financial,Banks - Regional
BL,Technology,Software - Application
BLKB,Technology,Software - Application
BMI,Technology,Scientific & Technical Instruments
BNL,Real Estate,REIT - Diversified
BOH,Financial,Banks - Regional
BOOT,Consumer Cyclical,Apparel Retail
BOX,Technology,Software - Infrastructure
BRSL,Consumer Cyclical,Gambling
BRZE,Technology,Software - Application
BTDR,Technology,Software - Application
BTSG,Healthcare,Health Information Services
BTU,Energy,Thermal Coal
BUR,Financial,Asset Management
BUSE,Financial,Banks - Regional
BWIN,Financial,Insurance Brokers
BXMT,Real Estate,REIT - Mortgage
CADE,Financial,Banks - Regional
CAKE,Consumer Cyclical,Restaurants
CALM,Consumer Defensive,Farm Products
CALX,Technology,Software - Infrastructure
CARG,Consumer Cyclical,Auto & Truck Dealerships
CATY,Financial,Banks - Regional
CBT,Basic Materials,Specialty Chemicals
CBU,Financial,Banks - Regional
CBZ,Industrials,Specialty Business Services
CC,Basic Materials,Specialty Chemicals
CCOI,Communication Services,Telecom Services
CDE,Basic Materials,Gold
CDP,Real Estate,REIT - Office
CENT,Consumer Defensive,Packaged Foods
CENTA,Consumer Defensive,Packaged Foods
CENX,Basic Materials,Aluminum
CHEF,Consumer Defensive,Food Distribution
CIFR,Financial,Capital Markets
CLSK,Financial,Capital Markets
CMC,Basic Materials,Steel
CNK,Communication Services,Entertainment
CNO,Financial,Insurance - Life
CNR,Energy,Thermal Coal
CNS,Financial,Asset Management
CNX,Energy,Oil & Gas E&P
COCO,Consumer Defensive,Beverages - Non-Alcoholic
COMP,Real Estate,Real Estate Services
CON,Healthcare,Medical Care Facilities
CORZ,Technology,Software - Infrastructure
CPK,Utilities,Utilities - Regulated Gas
CPRI,Consumer Cyclical,Luxury Goods
CPRX,Healthcare,Biotechnology
CRC,Energy,Oil & Gas E&P
CRDO,Technology,Semiconductors
CRGY,Energy,Oil & Gas Integrated
CRK,Energy,Oil & Gas E&P
CRNX,Healthcare,Biotechnology
CRSP,Healthcare,Biotechnology
CRVL,Financial,Insurance Brokers
CSW,Industrials,Specialty Industrial Machinery
CTRE,Real Estate,REIT - Healthcare Facilities
CURB,Real Estate,REIT - Retail
CVBF,Financial,Banks - Regional
CVCO,Consumer Cyclical,Residential Construction
CVI,Energy,Oil & Gas Refining & Marketing
CVLT,Technology,Software - Application
CWAN,Technology,Software - Application
CWK,Real Estate,Real Estate Services
CWST,Industrials,Waste Management
CWT,Utilities,Utilities - Regulated Water
