Ticker,Sector,Industry
XLK,Technology,Technology
XLF,Financials,Financials
XLC,Communications,Communications
XLY,Discretionary,Discretionary
XLRE,Real Estate,Real Estate
XHB,Home Builders,Home Builders
XBI,Biotechnology,Biotechnology
KRE,Regional Banks,Regional Banks
XLV,Healthcare,Healthcare
XLP,Staples,Staples
XLE,Energy,Energy
SRE,Utilities,Utilities
XLB,Materials,Materials
XLI,Industrials,Industrials
PHYS,Gold,Gold
PSLV,Silver,Silver
IBIT,Bitcoin,Bitcoin
ETHA,Ethereum,Ethereum



